2009-01-04,黃嘉松 牧師,作主門徒,太28:16-20,海沃教會,
2009-01-11,黃嘉松牧師,作主門徒的記號 (1),,海沃教會,
2009-01-18,陳鴻沫牧師,心意更新的生活,羅12:1-2,海沃教會,
2009-01-25,黃嘉松牧師,作主門徒的記號 (2),,海沃教會,
2009-02-01,黃嘉松牧師,主的門徒--彼得(1),路3:1-9；約1:35-42,海沃教會,
2009-02-08,黃嘉松牧師,主的門徒--彼得(2),路5:1-11,海沃教會,
2009-02-15,黃嘉松牧師,主的門徒--彼得(3),可3:13-19,海沃教會,
2009-02-22,葉耿齊傳道,回家,路15:25-32,海沃教會,
2009-03-01,黃嘉松牧師,主的門徒 --彼得(4),可15:22-33,海沃教會,
2009-03-08,黃嘉松牧師,主的門徒--彼得(5),約6:66-69；太16:13-19,海沃教會,
2009-03-15,黃嘉松牧師,主的門徒 --彼得(6),太26: 69-75,海沃教會,
2009-03-22,林力山弟兄,彼得的改變,彼後1: 3-4,海沃教會,
2009-03-29,陳鴻沫牧師, 具有感染力 的基督徒,太5: 13-16,海沃教會,因技術問題，中間有約一分鐘短暫空白
2009-04-05,黃嘉松牧師, 主的門徒--彼得(7),可16: 1-8；約21: 15-19,海沃教會,
2009-04-12,黃嘉松牧師,主果然復活了,路24:13-25,海沃教會,
2009-04-19,葉耿齊傳道,自由與奴役,加拉太書5:1-6,海沃教會,
2009-04-26,曾思翰牧師,新時代新合一,弗4:1-6,海沃教會,
2009-05-03,黃嘉松牧師,路得: 危機時代跟隨神的人(1),得 1：1-7,海沃教會,
2009-05-09,遠志明弟兄,尋找就尋見(上)||尋找就尋見 (下),佈道會 (1),海沃教會,
2009-05-10,遠志明弟兄,祈求就得著,佈道會 (2),海沃教會,
2009-05-24,黃嘉松牧師,路得: 危機時代跟隨神的人(3),得 1：1-7,海沃教會,
2009-05-31,林力山弟兄,彼此相愛,約13: 34,海沃教會,
2009-06-07,黃嘉松牧師,路得: 危機時代跟隨神的人(4),得2:1-18,海沃教會,
2009-06-14,孫約翰牧師,至美的團隊,馬可2:1-12,海沃教會,
2009-06-21,黃嘉松牧師,路得: 危機時代信神而活的人(5),得 1：1-7,海沃教會,
2009-06-28,葉耿齊傳道,軟弱即剛強,約13: 34,海沃教會,
2009-07-05,黃嘉松牧師,路得: 危機時代信神而活的人(6),得2:1-18,海沃教會,
2009-07-12,黃嘉松牧師,路得: 危機時代信神而活的人(7),得4:1-6,海沃教會,
2009-07-19,陳鴻沫牧師,屬靈復興,尼西米記8:1-12,海沃教會,
2009-07-26,林力山弟兄,彼此相愛(2),約壹4:7-8;林前13:4-7,海沃教會,
2009-08-02,黃嘉松牧師,路得: 危機時代信神而活的人(7),得4:7-22,海沃教會,因技術問題只錄到後半段
2009-08-09,黃嘉松牧師,誰是有福的人,耶17:1-14,海沃教會,
2009-08-16,黃嘉松牧師,一個人生不可逃避的問題,彼前4:12-19,海沃教會,
2009-08-23,葉耿齊傳道,有人在家嗎？,啟3:14~22,海沃教會,
2009-08-30,黃嘉松牧師,基督僕人的生命,路42: 35-48,海沃教會,
2009-09-06,李嫣如宣教士,患難中隱藏的珍寶,太: 5:13-16,海沃教會,宣教月
2009-09-13,邱志健牧師,建立宣教使命的教會,"弗1:23, 路19:10,徒22:8, 10",海沃教會,宣教月
2009-09-13,邱志健牧師,人人宣教:鹽和光,太: 5:13-16,海沃教會,宣教月
2009-09-20,李子群牧師,主步亦步 - 宣教的基礎,約14：12,海沃教會,宣教月
2009-09-27,陳鴻沫牧師,我在這裡－請差遣我,賽6:1-8,海沃教會,宣教月
2009-10-04,黃嘉松牧師,堅固中成長的教會,西4:2-6,海沃教會,中英聯合聚會;萬嗣興口譯
2009-10-11,葉耿齊傳道,放手,彼前5:7-9,海沃教會,
2009-10-18,葉耿齊傳道,飽滿的麥穗,彼前5:5-6,海沃教會,
2009-10-25,黃嘉松牧師,飛揚的信心(1): 試煉有何益處,雅各1: 1-4,海沃教會,
2009-11-01,黃嘉松牧師,飛揚的信心(2): 試煉與智慧,雅1:5-11,海沃教會,
2009-11-08,黃嘉松牧師,飛揚的信心(3): 試煉與試探,雅各1: 12-18,海沃教會,
2009-11-15,林力山弟兄,彼此相愛(3),約壹3:23-24,海沃教會,
2009-11-22,黃嘉松牧師,神的道與成長,,海沃教會,
2009-11-29,陳鴻沫牧師,基督徒感恩的縁由,西3:12-17,海沃教會,
2009-12-06,黃嘉松牧師, 飛揚的信心(5): 活出憐憫,雅 1:27~2:13,海沃教會,
2009-12-13,林力山弟兄, 愛是不止息,提前1:5,海沃教會,
2009-12-20,黃嘉松牧師, 聖誕節做什麽？,路2：15~20;太2：9~11,海沃教會,
2009-12-27,葉耿齊傳道, 屬靈成長(一),太4：1~11,海沃教會,
