12/30/12,胡鼎漢牧師,主同在就是幸福,太6:9-13,海沃教會
12/23/12,黃嘉松牧師,歷史的時刻,加4：1-11,海沃教會
12/16/12,黃嘉松牧師,蒙福的性情,路1：46-55,海沃教會
12/09/12,黃嘉松牧師,盼望救主的西面,路2：25-30,海沃教會
12/02/12,葉耿齊牧師,思考，再出發,,海沃教會
11/25/12,黃嘉松牧師,感恩與敬拜,詩 95,海沃教會
11/18/12,葉耿齊牧師,之後,羅12:1-2,海沃教會
11/11/12,黃嘉松牧師,在盼望中與神相交,約一3:2~10,海沃教會
11/04/12,黃嘉松牧師,行在光中(三),約壹 2：12-2：17,海沃教會
10/28/12,陳鴻沫牧師,如何活在不信的世界,,海沃教會
10/21/12,黃嘉松牧師,行在光中(二),約壹 2：1-2：11,海沃教會
10/14/12,黃嘉松牧師,行在光中,約壹 1：5-10,海沃教會
10/07/12,黃嘉松牧師,與神相交(二),約壹 1：1-4,海沃教會
9/30/12,黃嘉松牧師,與神相交,約壹 1：1-4,海沃教會
9/23/12,黃嘉松牧師,耶和華與他同在,撒上3：1-21,海沃教會
9/16/12,Bob Sjogren,The Other Side of The Cross 十字架的另一面,,海沃教會
9/16/12,Bob Sjogren,下午講道:彰顯神的榮耀(1)||下午講道:彰顯神的榮耀(2),,海沃教會
9/09/12,林立山弟兄,選手選民,林前9：24～25,海沃教會
9/02/12,黃嘉松牧師,信心的省察(二),來 11:6 林後 13:5,海沃教會
8/26/12,黃嘉松牧師,求主容我与你同行,来 11：6，林後13：5,海沃教會
8/19/12,葉耿齊牧師,王者歸來(七)軟弱中的盼望,羅 8:21-39,海沃教會
8/12/12,黃嘉松牧師,神揀選與塑造的人-雅各(10),創 49,海沃教會
8/05/12,黃嘉松牧師,神揀選與塑造的人-雅各(9),創 35,海沃教會
7/29/12,林力山弟兄,救恩与福音,,海沃教會
7/15/12,黃嘉松牧師,神揀選與塑造的人-雅各(8),創 34:1-31,海沃教會
7/8/12,黃嘉松牧師,神揀選與塑造的人-雅各(7),創 33:1-20,海沃教會
7/1/12,黃嘉松牧師,神揀選與塑造的人-雅各(6),創 32,海沃教會
6/24/12,葉耿齊牧師,王者歸來(六) 更高的力量,罗 7：21-8:11,海沃教會
6/17/12,黃嘉松牧師,神揀選與塑造的人-雅各(5),創 31:55,海沃教會
6/10/12,黃嘉松牧師,神揀選與塑造的人-雅各(4),創 30:25-31:55,海沃教會
6/03/12,葉耿齊牧師,王者歸來(五)連結, ,海沃教會
5/27/12,黃嘉松牧師,神揀選與塑造的人-雅各(3),創 28,海沃教會
5/20/12,葉耿齊牧師,王者歸來(四)連結,羅 5：12-21,海沃教會
5/13/12,黃嘉松牧師,神揀選與塑造的人-雅各(2),創 27,海沃教會
5/06/12,黃嘉松牧師,神揀選與塑造的人-雅各(1),創 25:19-34,海沃教會
4/29/12,陳鴻沫牧師,活出新生命,西 3：12-17,海沃教會
4/22/12,葉耿齊牧師,王者歸來（三） 信心真貌,羅 4：17-25,海沃教會
4/15/12,黃嘉松牧師,跟隨復活的主(三),,海沃教會
4/08/12,黃嘉松牧師,跟隨復活的主(二),西3：1-11,海沃教會
4/01/12,黃嘉松牧師,跟隨復活的主,約21:1~17,海沃教會
3/25/12,葉耿齊牧師,王者歸來（二） 血路,羅3：21-31,海沃教會
3/18/12,黃嘉松牧師,為何不能認識主？,可10:17-27,海沃教會
3/11/12,黃嘉松牧師,人子是誰？,太16:13-17,海沃教會
3/04/12,黃嘉松牧師,福音:和好的大能,創50:14-21,海沃教會
2/26/12,林立山弟兄,我們的神,弗1：17,海沃教會
2/18-19/12,遠志明牧師,信息一:作神的兒女||信息二: 吃天上的糧||信息三:走不知道的路 ,,海沃教會,福音佈道會
2/12/12,黃嘉松牧師,福音的救贖,"耶2:1-19,24-25",海沃教會
2/05/12,黃嘉松牧師,興旺福音的激情,羅 1:1-7,海沃教會
1/29/12,陳鴻沫牧師,雅各的屬靈經歷,創世紀32: 22-32,海沃教會
1/22/12,葉耿齊牧師,王者歸來(一)反叛與憤怒,羅:3：19-20,海沃教會
1/15/12,黃嘉松牧師,收割靈魂的喜樂,約:4：31-42,海沃教會
1/8/12,黃嘉松牧師,有感染力的教會,帖前1：1-10,海沃教會
1/1/12,黃嘉松牧師,興旺福音 mp3,腓 1:1-18;27,海沃教會
